,original_text,text
1,#ThingsDoneByMistake kissing auntie in the lips,kissing auntie in the lips
2,RT @mc_derpin: #TheOlderWeGet the more pessimistic we are https://t.co/zS3jHZJl8P,the more pessimistic we are
3,RT @dmataconis: Ready To Feel Like A Failure? Joan Of Arc Was Only 19 When She Was Burned At The Stake http://t.co/S2j1IFm4y9,Ready To Feel Like A Failure Joan Of Arc Was Only 19 When She Was Burned At The Stake
4,Amen! #blacklivesmatter https://t.co/wGffaOqgzl,Amen
5,"RT @NahBabyNah: Twitchy: Chuck Todd caught out there shilling for Hillary Clinton
The post BUSTED: Adam Baldwi... https://t.co/ay28pMpDw6 #…",Twitchy Chuck Todd caught out there shilling for Hillary Clinton The post BUSTED Adam Baldwi
6,RT @mcicero10: #BernieSanders #Trump people should rally TOGETHER against the establishment who is 💩-ing on both choices #thefix,Donald Trump people should rally TOGETHER against the establishment who is ing on both choices
7,RT @ItsJustJaynie: @HillaryClinton The undecided voters on that stage was polled and said trump won. @cnn is biased.,Hillary Clinton The undecided voters on that stage was polled and said trump won cnn is biased
8,@TodayCleveland 'no way',no way
9,"@NickTomaWBRE Hi, Nick! We're holding a ""Miners for Trump"" rally tomorrow. If you're interested in covering it, ple… https://t.co/mUGySkE4UR",Hi Nick Were holding a Miners for Trump rally tomorrow If youre interested in covering it ple
10,What. Is. A. Resolution #My4WordNewYearsResolution,What Is A Resolution
11,Lifetime movie   your pet   psycho neighbor = you digging a grave for Rover. #TVLifeLessonsILearned,Lifetime movie   your pet   psycho neighbor  you digging a grave for Rover
12,"RT @Conservatexian: New post: ""UN alarm that most of al-Shabab's force in Somalia are kids"" https://t.co/OzRhmln0f4",New post UN alarm that most of alShababs force in Somalia are kids
13,"RT @HillaryClinton: This one's for you, Hillary. https://t.co/KtzpIpSziO",This ones for you Hillary
14,"RT @leonpui_: Hillary Clinton, Obama and the Democrats use the Communist born word, ""RACIST"" to divert the real Problem!

https://t.co/pSEL…",Hillary Clinton Obama and the Democrats use the Communist born word RACIST to divert the real
15,"5th grade. When the second plane hit, I thought our school was next    #My911Story",5th grade When the second plane hit I thought our school was next
16,#teapartynews #teaparty #theteaparty #politics #conservative https://t.co/OTeVnYHv07,
17,#TrumpBecause #DonaldTrump will not be bought! He knows how to spot political games. 😜😝,Donald Trump will not be bought He knows how to spot political games
18,RT @DMashak: #Debates Chris Wallace @FoxNewsSunday: Pls ask if the candidates subscribe to the agenda &amp; tactics of Alinsky's #RulesForRadic…,Chris Wallace Pls ask if the candidates subscribe to the agenda   tactics of Alinskys
19,RT @mikefdupjourney: @she_nutt You're welcome! :) https://t.co/L7GqJ3xZzt,Youre welcome
20,RT @PrisonPlanet: Hillary's anti-Trump poster child Alicia Machado LIED about Trump causing her eating disorder. https://t.co/jU1ryskgXM,Hillarys antiTrump poster child Alicia Machado LIED about Trump causing her eating disorder
21,Sheriff Joe Arpaio to speak at RNC after all  #politics,Sheriff Joe Arpaio to speak at RNC after all
22,RT @truthBfree: .@BrewCitriot @jjauthor What a humble abode for a Marxist. Poor thing...,What a humble abode for a Marxist Poor thing
23,"RT @TrumpSuperPAC: #AfricanAmericans like @JermonMaxey realize if things didn't improve under Obama, it definitely won't with #Hillary! htt…",like realize if things didnt improve under Obama it definitely wont with htt
24,"RT @American_Woman4: #MAGA,#FEMININEAMERICA4TRUMP,#LGBT4Trump,#Fl4Trump Vote &amp; spread the true policies of Trump Happy Saturday🇺🇸 https://t…",Vote   spread the true policies of Trump Happy Saturday
25,"RT @Conservatexian: News post: ""TWITTER Buries 32 of Donald Trumps GOTO Battleground Tweets! Deletes Another!"" https://t.co/XZLachsMsL",News post TWITTER Buries 32 of Donald Trumps GOTO Battleground Tweets Deletes Another
